code,trump_diff
us-ga-145,-4.454641823765626
us-ga-147,-27.982603538598394
us-ga-149,-1.8026843118770008
us-ga-151,7.379399083619475
us-ga-153,-5.344601759668343
us-ga-155,-2.976214724657278
us-ga-157,-19.88230967267378
us-ga-159,-27.874276261373033
us-ga-161,-1.7298338314292838
us-ga-163,-56.04190585533869
us-ga-165,-3.60402903951611
us-ga-167,-31.66033640803039
us-ga-169,-3.2492860941800594
us-ga-171,-2.115752115752123
us-ga-173,-3.5208568053877287
us-ga-175,-3.9395356085398126
us-ga-177,4.4222566087255615
us-ga-179,-62.00210617605154
us-ga-181,-32.740126767430525
us-ga-183,-36.215691037162976
us-ga-185,-4.655417234205872
us-ga-187,-22.583501006036222
us-ga-189,-41.389728096676734
us-ga-191,-40.92834152126038
us-ga-193,5.95680314170589
us-ga-195,-23.312218703117182
us-ga-197,9.105454464478214
us-ga-199,-3.038164265650034
us-ga-201,11.329732608723386
us-ga-205,9.068240738433776
us-ga-207,-4.2666976137526795
us-ga-209,-3.5406986749268676
us-ga-211,-30.775725593667545
us-ga-213,-16.993096805265694
us-ga-215,-0.6486000825560667
us-ga-217,-4.4147651754312625
us-ga-219,-33.37138319519579
us-ga-221,-30.701228648486666
us-ga-223,-31.17275389120049
us-ga-225,2.4648709729879705
us-ga-227,-17.003846701809376
us-ga-229,-13.801121597592669
us-ga-231,-2.5354328450345687
us-ga-233,-22.51846640872318
us-ga-235,-5.500061231406295
us-ga-237,-31.02866779089376
us-ga-239,13.555559493292064
us-ga-241,-21.333833833833836
us-ga-243,11.076143984079916
us-ga-245,-6.087482391354326
us-ga-247,-1.4837501466643255
us-ga-249,9.076518841322745
us-ga-251,-4.802269917357227
us-ga-253,8.998862080865377
