code,split_index
us-id-029,0.064146602
us-id-031,0.034380431
us-id-033,0.057174931
us-id-035,0.047510955
us-id-037,0.039920042
us-id-039,0.025412166
us-id-041,0.143510278
us-id-043,0.058252188
us-id-045,0.050186248
us-id-047,0.016688552
us-id-049,0.040116777
us-id-051,0.053974559
us-id-053,0.016002842
us-id-055,0.062279605
us-id-057,0.127593171
us-id-059,0.002551063
us-id-061,0.041583356
us-id-063,0.032251722
us-id-065,0.258600766
us-id-067,0.006848964
us-id-069,0.063045396
us-id-071,0.079710945
us-id-073,0.038190879
us-id-075,0.048153796
us-id-077,0.075737995
us-id-079,0.065864441
us-id-081,0.0910807
us-id-083,0.01966639
us-id-085,0.059768378
us-id-087,0.046843721
us-il-001,0.044327697
us-il-003,0.009844913
us-il-005,0.340934366
us-il-007,0.66104671
us-il-009,0.06852601
us-il-011,0.621548935
us-il-013,0.027699435
us-il-015,0.241907967
us-il-017,0.110901468
us-il-019,0.245881451
us-il-021,0.155246988
us-il-023,0.409245711
us-il-025,0.289606299
us-il-027,0.400683162
us-il-029,0.572405434
us-il-031,0.026343349
us-il-033,0.394935839
us-il-035,0.337075624
us-il-037,0.522982683
us-il-039,0.123686965
us-il-041,0.421777451
us-il-043,0.158754896
us-il-045,0.396862695
us-il-047,0.234837168
us-il-049,0.313220512
us-il-051,0.325769431
us-il-053,0.410100063
us-il-055,0.086249923
us-il-057,0.275839511
us-il-059,0.403952715
us-il-061,0.033064857
us-il-063,0.594343864
us-il-065,0.326692271
us-il-067,0.059115187
us-il-069,0.328212291
us-il-071,0.228825336
us-il-073,0.181989332
us-il-075,0.349081802
us-il-077,0.12780359
us-il-079,0.316004673
us-il-081,0.020783135
us-il-083,0.038940578
us-il-085,0.118564361
us-il-087,0.330267696
us-il-089,0.113627562
us-il-091,0.039466951
us-il-093,0.090786551
us-il-095,0.119926111
us-il-097,0.180136211
us-il-099,0.659450858
us-il-101,0.363964555
us-il-103,0.621831512
us-il-105,0.462455826
us-il-107,0.160453197
us-il-109,0.117964393
us-il-111,0.115778281
us-il-113,0.182844714
us-il-115,0.126868937
us-il-117,0.040018692
us-il-119,0.102457788
us-il-121,0.433378236
us-il-123,0.144020924
us-il-125,0.123386384
us-il-127,0.39144097
us-il-129,0.172694105
us-il-131,0.199075386
us-il-133,0.018173293
us-il-135,0.054893803
us-il-137,0.187561932
us-il-139,0.408801528
us-il-141,0.571889969
us-il-143,0.079217959
us-il-145,0.019692477
us-il-147,0.181329652
us-il-149,0.031050564
us-il-151,0.304154995
us-il-153,0.055449452
us-il-155,0.616361299
us-il-157,0.080465236
us-il-159,0.35619469
us-il-161,0.099212844
us-il-163,0.011690503
us-il-165,0.385980323
us-il-167,0.188110172
us-il-169,0.092801497
us-il-171,0.058526247
us-il-173,0.356494096
us-il-175,0.248675481
us-il-177,0.131672648
us-il-179,0.066059491
us-il-181,0.044263974
us-il-183,0.539826627
us-il-185,0.36465959
us-il-187,0.175890413
us-il-189,0.347381177
us-il-191,0.220070209
us-il-193,0.327334697
us-il-195,0.156194239
us-il-197,0.027014901
us-il-199,0.017509799
us-il-201,0.454203712
us-il-203,0.109261275
us-in-001,0.051384348
us-in-003,0.127703367
us-in-005,0.067851152
us-in-007,0.007312915
us-in-009,0.036361476
us-in-011,0.092027795
us-in-013,0.103247793
us-in-015,0.022819695
us-in-017,0.023581931
us-in-019,0.105485343
us-in-021,0.053413868
us-in-023,0.028626341
us-in-025,0.187692356
us-in-027,0.015212517
us-in-029,0.008075919
us-in-031,0.065279798
us-in-033,0.045319671
us-in-035,0.023689821
us-in-037,0.012289166
us-in-039,0.034854972
us-in-041,0.048294239
us-in-043,0.079269592
us-in-045,0.0659506
us-in-047,0.010465433
us-in-049,0.043884339
us-in-051,0.022361844
us-in-053,0.018156352
us-in-055,0.058947312
us-in-057,0.150817524
us-in-059,0.057759852
us-in-061,0.163571527
us-in-063,0.060940036
us-in-065,0.034684718
us-in-067,0.046560511
us-in-069,0.061465181
us-in-071,0.161653227
us-in-073,0.048456969
us-in-075,0.008586785
us-in-077,0.027840914
us-in-079,0.036669956
us-in-081,0.067492211
us-in-083,0.041119289
us-in-085,0.035036812
us-in-087,0.020310366
us-in-089,0.502470396
us-in-091,0.2699621
us-in-093,0.135830926
us-in-095,0.013327863
us-in-097,0.036838456
