,name,code,split_index
257,"Montezuma County, CO",us-co-083,0.043609692450109594
258,"Montrose County, CO",us-co-085,0.007516456849916725
259,"Morgan County, CO",us-co-087,0.04369525470095621
260,"Otero County, CO",us-co-089,0.03483815330978332
261,"Ouray County, CO",us-co-091,0.03852879245628493
262,"Park County, CO",us-co-093,0.005911736427916758
263,"Phillips County, CO",us-co-095,0.042248740055812334
264,"Pitkin County, CO",us-co-097,0.025635620427093525
265,"Prowers County, CO",us-co-099,0.09530422189224372
266,"Pueblo County, CO",us-co-101,0.08693352348763944
267,"Rio Blanco County, CO",us-co-103,0.02110966904607399
268,"Rio Grande County, CO",us-co-105,0.027894977369646495
269,"Routt County, CO",us-co-107,0.04976888275016328
270,"Saguache County, CO",us-co-109,0.07846815991835351
271,"San Juan County, CO",us-co-111,0.03614351360904916
272,"San Miguel County, CO",us-co-113,0.03253902846072501
273,"Sedgwick County, CO",us-co-115,0.05351155789843451
274,"Summit County, CO",us-co-117,0.015439122073442835
275,"Teller County, CO",us-co-119,0.022888503416188685
276,"Washington County, CO",us-co-121,0.03462450865285784
277,"Weld County, CO",us-co-123,0.07375733323871045
278,"Yuma County, CO",us-co-125,0.038977931335196
279,"Fairfield County, CT",us-ct-001,0.029148039073576437
280,"Hartford County, CT",us-ct-003,0.051014820629624924
281,"Litchfield County, CT",us-ct-005,0.10556201824886241
282,"Middlesex County, CT",us-ct-007,0.12815566726721406
283,"New Haven County, CT",us-ct-009,0.14369839775151416
284,"New London County, CT",us-ct-011,0.23243906351187577
285,"Tolland County, CT",us-ct-013,0.1590487858875947
286,"Windham County, CT",us-ct-015,0.24677252286510262
287,"Kent County, DE",us-de-001,0.011257543103557255
288,"New Castle County, DE",us-de-003,0.011648565223606744
289,"Sussex County, DE",us-de-005,0.052176068438074735
290,"District of Columbia, DC",us-dc-001,
291,"District of Columbia, DC",us-dc-001,
292,"Alachua County, FL",us-fl-001,0.054661157233788615
293,"Baker County, FL",us-fl-003,0.08742399565065692
294,"Bay County, FL",us-fl-005,0.034421214993072574
295,"Bradford County, FL",us-fl-007,0.038393662002897275
296,"Brevard County, FL",us-fl-009,0.07378775044555713
297,"Broward County, FL",us-fl-011,0.03508918757481305
298,"Calhoun County, FL",us-fl-013,0.026919215248278894
299,"Charlotte County, FL",us-fl-015,0.015779319466033948
300,"Citrus County, FL",us-fl-017,0.007937567523250783
301,"Clay County, FL",us-fl-019,0.012336602178016132
302,"Collier County, FL",us-fl-021,0.09563608953095734
303,"Columbia County, FL",us-fl-023,0.027315897304272724
304,"DeSoto County, FL",us-fl-027,0.014107989420894446
305,"Dixie County, FL",us-fl-029,0.059817076533447505
306,"Duval County, FL",us-fl-031,0.0934553043643141
307,"Escambia County, FL",us-fl-033,0.03170552517369982
308,"Flagler County, FL",us-fl-035,0.026081055295278766
309,"Franklin County, FL",us-fl-037,0.022573363528023832
310,"Gadsden County, FL",us-fl-039,0.11669301664761889
311,"Gilchrist County, FL",us-fl-041,0.02368681919910942
312,"Glades County, FL",us-fl-043,0.019577683621579134
313,"Gulf County, FL",us-fl-045,0.005541708070700688
314,"Hamilton County, FL",us-fl-047,0.17677609593354918
